date,time,build,subject,trialcode,blocknum,trialnum,latency,response,correct,stimulus1,blockcode,stimulusitem2,stimulusitem3,stimulusitem4,stimulusitem5
120616,11:26:59,4.0.9.0,1,neutral,6,15,1458,minus1,0,GREY.bmp,Judgeindirect,blacksquare2.gif,pic70.bmp,Mask.bmp,0
120616,11:26:59,4.0.9.0,1,whiteindirect,6,16,2914,plus1,0,b12.jpg,Judgeindirect,blacksquare2.gif,pic63.bmp,Mask.bmp,0
120616,11:26:59,4.0.9.0,1,whiteindirect,6,17,2322,plus2,0,w01.bmp,Judgeindirect,blacksquare2.gif,pic62.bmp,Mask.bmp,0
120616,11:26:59,4.0.9.0,1,neutral,6,18,1148,plus2,0,GREY.bmp,Judgeindirect,blacksquare2.gif,pic24.bmp,Mask.bmp,0
120616,11:26:59,4.0.9.0,1,neutral,6,19,2613,plus2,0,GREY.bmp,Judgeindirect,blacksquare2.gif,pic49.bmp,Mask.bmp,0
120616,11:26:59,4.0.9.0,1,blackindirect,6,20,2361,plus1,0,b06.bmp,Judgeindirect,blacksquare2.gif,pic68.bmp,Mask.bmp,0
120616,11:26:59,4.0.9.0,1,blackindirect,6,21,1957,minus1,0,b09.bmp,Judgeindirect,blacksquare2.gif,pic75.bmp,Mask.bmp,0
120616,11:26:59,4.0.9.0,1,blackindirect,6,22,5029,plus1,0,b03.bmp,Judgeindirect,blacksquare2.gif,pic25.bmp,Mask.bmp,0
120616,11:26:59,4.0.9.0,1,neutral,6,23,1739,minus2,0,GREY.bmp,Judgeindirect,blacksquare2.gif,pic60.bmp,Mask.bmp,0
120616,11:26:59,4.0.9.0,1,blackindirect,6,24,1650,plus2,0,b10.bmp,Judgeindirect,blacksquare2.gif,pic6.bmp,Mask.bmp,0
120616,11:26:59,4.0.9.0,1,blackindirect,6,25,1278,plus2,0,b02.bmp,Judgeindirect,blacksquare2.gif,pic36.bmp,Mask.bmp,0
120616,11:26:59,4.0.9.0,1,neutral,6,26,2888,minus1,0,GREY.bmp,Judgeindirect,blacksquare2.gif,pic31.bmp,Mask.bmp,0
