date,time,build,subject,trialcode,blocknum,trialnum,latency,response,correct,stimulus1,blockcode,stimulusitem2,stimulusitem3,stimulusitem4,stimulusitem5
120116,10:09:39,4.0.5.0,23,blackindirect,4,39,856,minus1,0,b06.bmp,Judgeindirect,blacksquare2.gif,pic64.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,blackindirect,4,40,180,minus1,0,b01.bmp,Judgeindirect,blacksquare2.gif,pic39.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,blackindirect,4,41,2376,plus1,0,b04.bmp,Judgeindirect,blacksquare2.gif,pic54.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,neutral,4,42,789,plus1,0,GREY.bmp,Judgeindirect,blacksquare2.gif,pic12.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,blackindirect,4,43,1171,minus1,0,b05.bmp,Judgeindirect,blacksquare2.gif,pic26.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,whiteindirect,4,44,1570,minus1,0,w08.bmp,Judgeindirect,blacksquare2.gif,pic75.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,neutral,4,45,1170,plus1,0,GREY.bmp,Judgeindirect,blacksquare2.gif,pic18.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,neutral,4,46,1561,minus1,0,GREY.bmp,Judgeindirect,blacksquare2.gif,pic51.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,blackindirect,4,47,1092,minus1,0,b07.bmp,Judgeindirect,blacksquare2.gif,pic14.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,blackindirect,4,48,519,minus1,0,b03.bmp,Judgeindirect,blacksquare2.gif,pic47.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,neutral,4,49,3495,plus1,0,GREY.bmp,Judgeindirect,blacksquare2.gif,pic40.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,neutral,4,50,2019,minus1,0,GREY.bmp,Judgeindirect,blacksquare2.gif,pic31.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,whiteindirect,4,51,2038,minus1,0,w03.bmp,Judgeindirect,blacksquare2.gif,pic48.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,whiteindirect,4,52,1135,minus1,0,b12.jpg,Judgeindirect,blacksquare2.gif,pic10.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,whiteindirect,4,53,1073,plus1,0,w01.bmp,Judgeindirect,blacksquare2.gif,pic9.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,whiteindirect,4,54,501,plus1,0,w07.bmp,Judgeindirect,blacksquare2.gif,pic36.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,whiteindirect,4,55,542,plus1,0,w06.bmp,Judgeindirect,blacksquare2.gif,pic74.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,neutral,4,56,606,plus1,0,GREY.bmp,Judgeindirect,blacksquare2.gif,pic2.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,whiteindirect,4,57,1187,minus2,0,w09.bmp,Judgeindirect,blacksquare2.gif,pic56.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,whiteindirect,4,58,532,minus2,0,w02.bmp,Judgeindirect,blacksquare2.gif,pic73.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,blackindirect,4,59,1349,minus1,0,b12.bmp,Judgeindirect,blacksquare2.gif,pic17.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,blackindirect,4,60,1768,minus1,0,b08.bmp,Judgeindirect,blacksquare2.gif,pic15.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,whiteindirect,4,61,1532,minus2,0,w04.bmp,Judgeindirect,blacksquare2.gif,pic11.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,neutral,4,62,2504,plus1,0,GREY.bmp,Judgeindirect,blacksquare2.gif,pic55.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,neutral,4,63,978,plus1,0,GREY.bmp,Judgeindirect,blacksquare2.gif,pic63.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,whiteindirect,4,64,1275,minus1,0,w05.bmp,Judgeindirect,blacksquare2.gif,pic52.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,blackindirect,4,65,833,minus1,0,b10.bmp,Judgeindirect,blacksquare2.gif,pic21.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,neutral,4,66,1118,plus1,0,GREY.bmp,Judgeindirect,blacksquare2.gif,pic49.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,whiteindirect,4,67,1482,minus1,0,b11.jpg,Judgeindirect,blacksquare2.gif,pic30.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,blackindirect,4,68,704,minus1,0,b11.bmp,Judgeindirect,blacksquare2.gif,pic59.bmp,Mask.bmp,0
120116,10:09:39,4.0.5.0,23,neutral,4,69,2042,plus1,0,GREY.bmp,Judgeindirect,blacksquare2.gif,pic68.bmp,Mask.bmp,0
